country,category,type,link,feedback,ga_tagged,live_status,breadcrumb
폴란드(PL),Monitor,Feature Library,https://www.lg.com/pl/buying-guides/monitor-spec-library/,,완료,LIVE,O
폴란드(PL),REF,Lineup Guide,https://www.lg.com/pl/buying-guides/refrigerator-lineup-guide/,26.03.30 리마인드 메일 ,,,
폴란드(PL),REF,Feature Library,https://www.lg.com/pl/buying-guides/refrigerator-spec-library,,완료,LIVE,O
폴란드(PL),Laundry,Lineup Guide,https://www.lg.com/pl/buying-guides/laundry-lineup-guide/,회신대기(법인 리뷰중),,,
폴란드(PL),Laundry,Feature Library,https://www.lg.com/pl/buying-guides/laundry-spec-library,법인 피드백 반영 완료,완료,LIVE,O
스페인(ES),TV,Lineup Guide,https://www.lg.com/es/buying-guides/tv-lineup-guide/,법인 피드백 반영 완료,완료,LIVE,O
스페인(ES),TV,Feature Library,https://www.lg.com/es/buying-guides/tv-spec-library/,법인 피드백 반영 완료,완료,LIVE,O
스페인(ES),Monitor,Lineup Guide,https://www.lg.com/es/buying-guides/monitor-lineup-guide/,,완료,LIVE,O
스페인(ES),Monitor,Feature Library,https://www.lg.com/es/buying-guides/monitor-spec-library/,,완료,LIVE,O
스페인(ES),REF,Lineup Guide,https://www.lg.com/es/buying-guides/refrigerator-lineup-guide/,26.03.30 리마인드 메일 ,,,
스페인(ES),REF,Feature Library,https://www.lg.com/es/buying-guides/refrigerator-spec-library,,완료,LIVE,O
스페인(ES),Laundry,Lineup Guide,https://www.lg.com/es/buying-guides/laundry-lineup-guide/,26.03.24 리마인드 메일 ,,,
스페인(ES),Laundry,Feature Library,https://www.lg.com/es/buying-guides/laundry-spec-library,,완료,LIVE,O
,,,,,,,
